[2074, 10666, 2934, 3032, 10372, 6946, 3029, 716, 6905, 2676, 694, 3104, 2496, 5000, 5000, 5000, 5000, 5000, 5000]
[1958, 10000, 2757, 2786, 6856, 7077, 3029, 716, 6738, 2536, 694, 2942, 2437, 4950, 4772, 4858, 4832, 4720, 4004]
[1892, 10666, 2934, 3032, 10372, 6694, 3029, 496, 6745, 2676, 694, 6654, 2262, 4979, 4775, 4701, 5000, 4873, 4984]
[2074, 10000, 2773, 2878, 10372, 6768, 322, 716, 7030, 2676, 694, 6323, 2496, 9003, 4709, 4892, 5000, 4879, 5000]
[2012, 10000, 9096, 3032, 10000, 6837, 2743, 561, 6816, 2479, 694, 2972, 2368, 5283, 5000, 4722, 5000, 4879, 4931]
[1775, 10000, 2934, 3004, 10000, 6946, 3029, 696, 6905, 2632, 694, 3104, 2496, 4785, 4801, 5000, 5891, 5000, 4828]
[3540, 10000, 2747, 3032, 10372, 6782, 2992, 693, 6718, 2670, 694, 3104, 2299, 4901, 4792, 2751, 4907, 5000, 4795]
[1960, 10000, 2771, 2913, 398, 6874, 878, 500, 6632, 2592, 529, 2980, 2398, 4824, 4997, 5000, 4949, 5000, 4890]
[1890, 10000, 2934, 2870, 10000, 6946, 3029, 464, 6810, 4796, 694, 2172, 2496, 5000, 7784, 3866, 4914, 4761, 4960]
[1986, 10000, 2665, 7284, 10000, 6798, 2956, 488, 6905, 2643, 686, 3096, 2496, 4859, 4907, 4864, 4859, 4869, 4740]
[1949, 10666, 2934, 2812, 10000, 6824, 3029, 716, 6751, 6037, 475, 3003, 2496, 5000, 5000, 4751, 4902, 5000, 4999]
[1977, 10000, 2859, 2907, 10000, 6802, 2778, 716, 6179, 2509, 574, 2888, 2487, 5000, 4902, 4858, 5000, 4967, 5000]
[1804, 10000, 2750, 2746, 10000, 2454, 2817, 447, 3846, 3590, 660, 2814, 2265, 5000, 5000, 4994, 4982, 4856, 5000]
[1875, 2770, 2822, 2762, 10372, 6827, 3029, 448, 6783, 2499, 694, 2811, 2496, 6022, 4736, 8290, 5000, 4706, 4754]
[7523, 10000, 2934, 2909, 10372, 6946, 2959, 568, 6905, 2416, 674, 2198, 2478, 7003, 5913, 4777, 5000, 4986, 4921]
[2074, 5234, 2765, 3017, 10372, 6651, 2767, 526, 6807, 2600, 472, 3056, 2483, 3261, 4774, 4986, 4881, 4929, 4960]
[1866, 10000, 2635, 3032, 10000, 6872, 3029, 716, 6827, 2505, 694, 2964, 2366, 4860, 4928, 4904, 3680, 5000, 4934]
[1932, 9051, 2934, 3032, 10000, 6885, 2770, 506, 6744, 2411, 466, 3104, 2481, 4840, 4825, 4793, 5000, 5000, 359]
[13, 10000, 2720, 2853, 10000, 6809, 2938, 588, 6860, 2380, 694, 2863, 2474, 5000, 4836, 1460, 4853, 5000, 5000]
[2074, 10000, 2873, 3032, 10000, 6946, 2840, 716, 6802, 2676, 637, 3104, 2305, 4818, 5000, 5000, 4727, 5000, 4880]
[4451, 10000, 2934, 3032, 10000, 2911, 3029, 716, 6905, 2425, 694, 3073, 2488, 4732, 4807, 5000, 4902, 2093, 4854]
[1928, 10000, 2749, 2817, 10000, 6809, 3029, 716, 6870, 2519, 3327, 3070, 9583, 5000, 5000, 5000, 4843, 5000, 5000]
[2074, 10000, 2934, 2986, 10000, 6946, 1766, 1811, 6733, 2676, 647, 6962, 2496, 5000, 4842, 4940, 4701, 4890, 4821]
[1854, 10666, 2667, 8260, 10372, 6684, 2892, 475, 6737, 2676, 694, 2971, 6341, 5000, 4742, 4778, 4703, 1243, 4773]
[1989, 10000, 2871, 3032, 10000, 6650, 2944, 716, 6834, 9697, 664, 2891, 2413, 3755, 1697, 5000, 5000, 4952, 4896]
[2074, 10000, 2811, 3032, 10000, 6891, 2895, 705, 8595, 2552, 419, 3081, 2475, 9073, 4842, 5000, 5000, 4915, 4797]
[1794, 10666, 2793, 3032, 10000, 6708, 9028, 706, 6791, 1728, 558, 3000, 2496, 4800, 4973, 4745, 9369, 4919, 6803]
[6626, 10666, 2934, 2975, 7032, 6879, 2951, 716, 6633, 3584, 694, 3104, 2323, 4974, 4983, 4744, 4903, 5000, 4958]
[1822, 7393, 2706, 2976, 10000, 7913, 2960, 716, 6609, 2489, 646, 3066, 2483, 5000, 4796, 4892, 4868, 5000, 4758]
[2051, 10000, 2933, 2992, 10000, 6863, 3029, 588, 6794, 2477, 694, 2902, 2477, 5000, 5000, 3098, 5000, 4898, 4893]
[2074, 10666, 2879, 3028, 10372, 6734, 3029, 716, 3927, 2509, 577, 3104, 2496, 4789, 4741, 4975, 4923, 4965, 4720]
